NOTIFICATION_REFERENCE,NOTIF_DATE,ORIGIN_COUNTRY_DESC,NOTIFYNG_COUNTRY_DESC,PRODUCT_NAME,PRODUCT_CATEGORY_DESC,HAZARD_CATEGORY_NAME,substance,unauthorised_flag,NOTIFICATION_CLASSIFICAT_DESC,NOTIFICATION_BASIS_DESC,RISK_DECISION_DESC,DISTRIBUTION_STATUS_DESC,NOTIF_SUBJECT
2024.5496,2024-07-18,Kenya,Netherlands,"green beans, wax beans and string beans",fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyriphos-ethyl   - {pesticide residues} *** methamidophos  unauthorised substance - {pesticide residues},methamidophos,True,border rejection notification,border control - consignment detained,potential risk,product not (yet) placed on the market,Beans Kenya Pesticide Residue
2024.5512,2024-07-18,India,France,Drumsticks (Moringa oleifera),fruits and vegetables,fenpropathrin   - {pesticide residues},fenpropathrin,False,border rejection notification,border control - consignment detained,no risk,product not (yet) placed on the market,Fenpropathrin in drumsticks from India
2024.5472,2024-07-17,Egypt,Poland,Frozen strawberries,fruits and vegetables,oxamyl  unauthorised substance - {pesticide residues},oxamyl,True,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,"Oxamyl (0,01+/-0,005 mg/kg) in frozen strawberries from Egypt"
2024.5384,2024-07-15,Türkiye,Bulgaria,Sweet peppers,fruits and vegetables,formetanate   - {pesticide residues},formetanate,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,formetanate in fresh peppers from Türkiye
2024.5396,2024-07-15,India,Germany,fresh mangoes,fruits and vegetables,propargite   - {pesticide residues},propargite,False,information notification for attention,official control on the market,serious,product (presumably) no longer on the market,Propargite in fresh mangoes from India 
2024.5369,2024-07-12,Türkiye,Bulgaria,Sweet peppers,fruits and vegetables,formetanate   - {pesticide residues},formetanate,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Formetanate in fresh peppers from Türkiye
2024.5304,2024-07-11,Kenya,France,Peppers of the genus Capsicum (other than sweet),fruits and vegetables,carbendazim   - {pesticide residues},carbendazim,False,border rejection notification,border control - consignment detained,not serious,product not (yet) placed on the market,Pesticides residues in peppers of the genus Capsicum (other than sweet) from Kenya
2024.5330,2024-07-11,Kenya,Netherlands,Other,fruits and vegetables,chlorpyriphos-ethyl   - {pesticide residues},chlorpyriphos-ethyl,False,border rejection notification,border control - consignment detained,potential risk,product not (yet) placed on the market,Beans Kenya Pesticide Residue
2024.5324,2024-07-11,India,Spain,CHILLIES CRUSHED,fruits and vegetables,azinphos-methyl   - {pesticide residues},azinphos-methyl,False,information notification for attention,border control - consignment released,potentially serious,information on distribution not (yet) available,Residuos de plaguicidas (Azinfós-metilo) en pimiento triturado de La India. / Pesticide residues (Azinphos-methyl) in crushed Capsicum from India.
2024.5274,2024-07-10,Egypt,Romania,EGYPTIAN Fresh Valencia Orange,fruits and vegetables,flumetralin  - {pesticide residues},flumetralin,False,border rejection notification,border control - consignment detained,potentially serious,product not (yet) placed on the market,Exceeded PESTICIDES Flumetralin in oranges from Egipt
